Date,high,low,open,close,pb,pct_chg_b,pe_ttm,turn,volume,amount,vwap,pct_chg_f
2020/9/1,2.8818,2.8676,2.8676,2.8747,0.7047,0,0.7047,-835.4743,87702448,3.5311,2.872,0
2020/9/2,2.8747,2.8462,2.8747,2.8533,0.6995,-0.7444,0.6995,-829.2549,99417007,3.9851,2.8594,-0.744425505
2020/9/3,2.8676,2.839,2.8533,2.8462,0.6977,-0.25,0.6977,-827.1817,108358605,4.3302,2.8506,-0.248834683
2020/9/4,2.8462,2.8248,2.839,2.839,0.696,-0.2506,0.696,-825.1086,118317300,4.6992,2.8331,-0.252968871
2020/9/7,2.839,2.8176,2.8319,2.8248,0.6925,-0.5025,0.6925,-820.9623,110020047,4.3669,2.8313,-0.500176118
2020/9/8,2.839,2.8176,2.8248,2.8319,0.6942,0.2525,0.6942,-823.0354,97108373,3.8521,2.8297,0.251345228
2020/9/9,2.8319,2.8105,2.8176,2.8105,0.689,-0.7557,0.689,-816.816,121619965,4.8067,2.8192,-0.755676401
2020/9/10,2.8248,2.7891,2.8176,2.7962,0.6855,-0.5076,0.6855,-812.6698,118299706,4.6471,2.8021,-0.508806262
2020/9/11,2.7962,2.782,2.7891,2.7891,0.6837,-0.2551,0.6837,-810.5966,70922788,2.7729,2.789,-0.253916029
2020/9/14,2.8034,2.7891,2.7962,2.7962,0.6855,0.2558,0.6855,-812.6698,57184320,2.2422,2.797,0.254562404
2020/9/15,2.8034,2.7891,2.7962,2.7962,0.6855,0,0.6855,-812.6698,49234843,1.9291,2.7949,0
2020/9/16,2.8176,2.7891,2.8034,2.8105,0.689,0.5102,0.689,-816.816,68228567,2.6837,2.8058,0.51140834
2020/9/17,2.8176,2.8034,2.8105,2.8034,0.6872,-0.2538,0.6872,-814.7429,52459445,2.0677,2.8116,-0.252624088
2020/9/18,2.8248,2.8034,2.8176,2.8248,0.6925,0.7634,0.6925,-820.9623,126999862,5.0129,2.8156,0.763358779
2020/9/21,2.839,2.8176,2.8248,2.8319,0.6942,0.2525,0.6942,-823.0354,76441444,3.0278,2.8254,0.251345228
2020/9/22,2.8319,2.8034,2.8176,2.8034,0.6872,-1.0076,0.6872,-814.7429,75632958,2.9882,2.8183,-1.006391469
2020/9/23,2.8105,2.7962,2.8034,2.7962,0.6855,-0.2545,0.6855,-812.6698,42740906,1.6786,2.8016,-0.256830991
2020/9/24,2.7962,2.7677,2.7962,2.7748,0.6802,-0.7653,0.6802,-806.4504,84426707,3.291,2.7806,-0.765324369
