Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,18.8582,14.6884,40.9798,,21.5874,10.3012,14.8868,7.7300,35.7327,15.9834,15.2539,7.0178,41.7564,12.4771,9.7659,1.5800,3.5311,35.5231,9.3991,26.6285,19.7387,8.5952,3.2649,2.2631,17.5450,56.6159,17.2391,10.3673,35.7648,14.5564,4.2637,35.1667,4.6031,35.9351,6.2956,1.7888,30.9880,32.5348,19.2892,21.2380,4.1620,0.2932,11.0347,6.0531,,48.7277,2.0965,,1.5677,2.6120
2020-09-02,19.6242,13.0498,80.8487,,12.4755,12.4672,10.8657,13.1028,37.1938,35.3988,12.1677,7.0451,30.8414,12.3096,7.8455,2.6955,3.9851,46.3179,22.8614,29.6083,25.7110,8.8969,4.7515,4.7130,23.7993,57.4635,14.5884,9.7907,31.3879,14.9977,5.3339,29.0493,4.0802,42.2957,10.7314,2.2346,33.6705,24.7403,21.6825,23.8339,3.0181,0.3646,14.1086,7.7167,,54.9684,9.5843,,2.2682,3.1307
2020-09-03,35.8995,23.4069,64.8116,,22.4380,9.2982,11.6005,13.5265,21.2970,22.3656,17.8956,7.1340,26.0040,15.1585,13.4284,5.1045,4.3302,40.1895,27.0548,23.6990,18.7163,16.0131,4.8070,4.1182,46.1391,54.7133,14.2672,8.4622,38.6305,12.9585,7.6018,28.3601,5.0875,45.4058,10.8943,2.8770,25.9751,19.2363,26.1427,35.6523,3.0259,0.2684,14.3740,5.8311,,36.7492,5.1271,,1.7828,2.6944
2020-09-04,15.6274,24.7469,41.7915,,12.0416,10.9245,10.9805,22.2884,19.7913,15.8094,17.1416,5.4416,29.9365,15.5404,12.6717,2.7293,4.6992,34.9896,17.2885,17.8042,23.7006,14.8059,5.2700,2.7797,29.6004,54.3348,9.8581,6.0217,27.8718,7.3715,4.5593,31.0211,9.3535,35.7594,7.9814,1.9994,26.6104,15.7311,19.4114,35.4211,4.6546,0.2970,11.8565,5.1439,,29.4871,2.8045,,1.3808,3.2453
2020-09-07,19.7132,29.7128,51.6525,,12.7504,19.0117,10.1272,24.6135,38.6244,34.0986,14.1512,6.3087,85.4077,13.2412,10.6466,3.0170,4.3669,46.8167,16.9066,22.8599,21.6111,19.7226,4.8251,3.5741,16.6695,54.4635,12.4025,7.3606,33.3871,10.2730,7.1601,31.6875,7.4620,47.8753,12.2156,2.4083,33.5610,25.3052,16.7074,76.6776,4.5956,0.3473,20.1551,6.1782,,38.7777,4.4485,,1.8447,4.2007
2020-09-08,16.7472,17.4765,40.8469,,8.2482,10.4561,6.6642,12.7914,25.9090,22.8347,9.0429,5.8429,40.6318,12.6837,8.6678,3.0993,3.8521,42.6053,16.9900,25.5881,18.9155,16.0763,3.5925,2.7494,18.0951,58.6596,11.1280,5.2563,25.4484,11.5501,5.7017,30.1074,10.4077,66.4226,9.7680,2.0931,24.9133,21.0919,13.4896,29.6412,3.3737,0.4204,12.4689,5.1911,,27.2634,2.7530,,1.5202,3.0127
2020-09-09,23.0976,18.6165,38.1828,,8.5710,14.9176,12.4147,14.5836,22.8181,20.9684,12.3362,6.0407,34.4474,18.4817,8.5829,6.0340,4.8067,34.2622,17.6933,22.7641,19.1341,15.2228,5.4185,4.6239,15.2942,44.0181,11.2642,7.6499,19.8077,13.2950,4.5773,32.7175,7.1453,40.2686,9.2978,2.6862,23.3520,15.8596,11.6156,36.5367,4.0378,0.4282,10.0381,6.4181,,34.3307,3.0125,,2.6126,4.3831
2020-09-10,32.9200,13.8176,45.0469,,16.3485,11.6382,6.5914,10.7090,19.2392,14.7524,9.3631,5.1852,27.7574,14.6934,7.6341,4.9555,4.6471,32.1727,16.8614,20.7236,14.8266,12.9328,3.8010,4.2715,21.4827,42.3669,11.2782,9.5397,19.0901,12.6448,4.8702,25.9263,6.2434,40.7804,10.5377,2.7665,28.4640,24.0742,13.9207,21.1238,3.6145,0.3662,21.7848,6.4847,,38.4069,2.0005,,2.2937,3.2032
2020-09-11,19.4615,14.2165,31.1786,,9.5242,12.0959,4.6268,13.9683,18.4307,16.5543,8.9317,6.0504,21.8856,11.0815,9.7048,3.5174,2.7729,24.5489,10.8724,20.6426,16.7101,10.8711,3.6903,3.0651,22.5880,53.3988,8.0236,6.7047,17.1501,7.6913,6.0060,52.5114,6.3571,35.5756,5.6829,1.6130,19.1780,14.6690,9.2424,23.5666,2.9041,0.3177,12.8297,4.4021,,43.0174,2.4021,,1.2261,2.5623
2020-09-14,13.2256,14.6929,27.3707,,9.0833,10.8578,5.0986,12.7763,20.7855,17.3844,9.6179,6.5676,27.5534,17.2984,9.0127,2.0340,2.2422,19.6684,13.9097,17.1384,14.2204,12.9426,3.4206,3.5776,22.9802,54.4819,12.8051,6.8584,21.6972,9.6879,6.8641,62.9053,3.6892,57.3057,4.8823,1.6632,25.6385,20.3196,13.3072,19.2502,2.5819,0.2712,9.6588,5.9762,,46.9101,1.7231,,1.0066,2.2305
