Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,35.8787,59.2863,5.0082,8.8400,34.1357,5.9137,37.9002,136.6953,30.2680,59.0580,23.7200,37.1098,111.9925,317.5595,74.6174,3.7603,2.8747,27.2236,20.2374,29.9603,76.9036,67.0816,12.0257,18.8190,239.7897,1606.3856,47.3200,26.4320,35.1659,43.7069,16.5719,33.1832,11.1834,60.6813,4.1042,5.0216,204.4130,6.7380,83.7062,65.3500,27.3718,6.5719,13.2662,12.1721,,55.7017,5.5679,,3.0052,5.8350
2020-09-02,36.0364,58.6496,5.1610,8.8400,33.3896,5.9936,37.7125,132.3647,30.5269,59.3037,23.5875,36.6045,110.4557,317.9715,74.2237,3.7754,2.8533,27.0456,21.1581,29.7841,77.4845,66.3951,12.2005,18.1508,263.7503,1600.1632,46.8491,27.4896,35.2337,42.3002,16.6737,33.5432,11.0518,60.3238,4.0565,4.9872,210.2587,6.5452,85.4242,64.1700,27.3050,6.4919,13.3153,11.8901,,56.0143,6.0699,,2.9483,5.8350
2020-09-03,34.9416,58.6496,5.1341,8.8400,31.4555,5.8497,36.7837,136.0115,29.9734,58.4669,23.6847,35.4772,109.7187,314.8403,74.7158,3.8058,2.8462,26.7234,21.6777,29.6080,77.7300,68.4727,11.8827,18.4402,257.0619,1598.3803,46.7471,27.3673,35.1913,42.7921,16.9876,32.7738,11.1487,59.8948,4.0326,4.9270,211.4845,6.4810,84.0560,65.0800,27.1715,6.4563,13.4217,11.7443,,54.3240,5.7724,,2.9199,5.8162
2020-09-04,34.7746,56.8801,5.0532,8.8400,31.4752,5.7858,36.5367,137.5261,29.1349,58.0817,23.1770,35.5873,106.7705,307.6258,76.4776,3.7982,2.8390,26.3164,21.1307,29.4639,76.5109,70.0084,11.4112,18.1784,237.6343,1577.8768,46.6529,26.9127,34.7086,42.1723,16.9792,32.7492,11.1972,59.4419,4.0167,4.9012,207.2416,6.4259,81.7939,66.2800,27.5530,6.4385,13.4790,11.6179,,53.7769,5.8096,,2.9009,5.8256
2020-09-07,33.9581,55.1520,4.8374,8.8400,30.1105,5.8897,35.6179,125.0859,30.6694,55.0066,22.5280,34.9135,97.4348,297.5638,74.3122,3.7754,2.8248,25.3584,20.4288,29.4559,74.9481,65.8350,11.0456,17.5171,236.0395,1536.4241,45.7348,26.8253,34.2004,40.3229,17.0386,30.8355,11.1280,59.6326,3.9849,4.8497,197.3226,6.5085,78.0937,58.8000,26.9998,6.3407,13.5936,11.3651,,51.0900,5.8840,,2.9009,5.8444
2020-09-08,33.6148,55.3008,4.9542,8.8400,29.6491,5.9696,35.9143,122.8508,29.4586,54.9800,22.3470,34.5767,97.6961,301.1253,75.6312,3.8285,2.8319,25.9858,21.3130,30.0964,75.5454,66.5577,11.0933,17.4207,230.4916,1525.6375,46.1899,26.8428,33.7769,39.6245,16.9707,31.3189,11.4188,61.2851,4.0644,4.8926,192.5329,6.4626,78.4202,57.5500,26.4085,6.3585,13.5936,11.4623,,51.5492,5.8189,,2.9578,5.8444
2020-09-09,32.2509,53.6305,4.7654,8.8400,29.2073,5.5620,34.4520,113.9617,27.8368,52.7351,21.6407,33.4882,96.3475,285.7624,73.0228,3.8664,2.8105,25.5110,20.4106,30.1044,73.8844,62.9624,10.7172,16.4632,219.9369,1504.7774,45.2796,25.5055,33.1756,39.2703,16.9622,30.9983,11.2595,60.7607,4.0088,4.8668,185.9140,6.1780,76.3213,54.1100,24.9875,6.2785,13.4217,11.0443,,50.4647,5.5586,,2.9767,5.7879
2020-09-10,30.6087,54.4905,4.5766,8.8400,26.7431,5.5141,34.1457,115.0131,28.1929,52.6023,21.6407,33.3651,96.6821,291.2465,72.5406,3.8134,2.7962,25.4347,20.8390,30.1845,74.2444,64.8594,10.7013,16.5321,234.2998,1520.6454,45.3973,26.3446,32.8791,39.6441,17.0301,31.5211,11.2734,60.7925,4.0008,4.8153,193.8529,6.4075,76.0958,52.7800,24.6727,6.1895,13.7245,11.0151,,51.8814,5.4843,,2.8819,5.7785
2020-09-11,31.2674,54.7220,4.7115,8.8400,27.2536,5.8098,34.2841,115.5793,29.5234,52.0112,22.0071,33.8640,97.9052,301.1162,72.0484,3.8134,2.7891,25.5110,21.0304,29.8162,75.1199,65.1756,10.5423,16.6010,253.2827,1544.8930,45.5150,27.2449,32.8961,40.0868,17.2761,34.4359,11.0726,61.3407,3.9929,4.8067,195.3709,6.3433,76.3368,55.2300,24.9398,6.1362,13.5690,11.1124,,54.6660,5.5215,,2.8914,5.7785
2020-09-14,31.0633,56.2269,4.7115,8.8400,26.6744,5.8018,34.6101,112.7854,29.9442,51.8916,21.9232,33.6956,100.7697,308.3857,73.1311,3.8058,2.7962,25.4771,20.9119,29.9042,74.7517,66.9190,10.6854,16.8972,245.5020,1574.3110,46.4489,27.8567,33.0485,39.2802,17.7344,35.9156,11.1210,62.4053,4.0008,4.8153,202.0558,6.5544,75.8704,54.8800,25.6646,6.1540,13.5445,11.2873,,54.9200,5.4843,,2.9009,5.7973
