Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,36.1570,59.7163,5.0352,,34.2437,6.0335,38.1670,137.6364,30.2680,59.0846,23.8833,37.4208,112.3845,317.8250,75.4343,3.7754,2.8818,27.2236,20.4197,30.1845,78.1800,67.1448,12.1105,18.9292,242.1191,1606.4034,47.6652,26.8953,35.6995,44.8972,16.5888,33.1832,11.2041,60.8481,4.1201,5.0560,206.3270,6.8757,85.7040,66.4700,27.4099,6.5719,13.2990,12.2401,,55.9557,5.6237,,3.0147,5.8726
2020-09-02,36.5096,59.9395,5.2150,,34.0474,6.0735,37.9694,137.4232,31.0773,61.7678,24.0158,37.7318,111.9298,320.9013,75.7296,3.8134,2.8747,27.4017,21.2857,30.0884,77.7300,67.7049,12.3594,18.9774,263.7503,1629.5813,47.4691,27.8043,35.9706,44.9071,16.7670,33.7800,11.1903,61.0150,4.1122,5.0474,214.0019,6.7105,85.7895,65.5400,27.6388,6.5897,13.4626,12.1234,,57.8316,6.1257,,3.0052,5.8538
2020-09-03,35.7209,60.3447,5.1970,,32.3686,6.0175,37.6927,136.3865,30.8053,59.2440,24.7618,36.8248,110.2937,325.0213,77.1961,3.8816,2.8676,27.3593,22.2337,29.9683,78.4500,69.8187,12.3118,18.9017,284.1444,1615.3180,47.3357,27.4809,36.4449,43.5495,17.2761,33.6369,11.1834,60.7131,4.0883,5.0130,216.4816,6.6554,87.1266,65.4800,27.5911,6.5364,13.5281,11.9582,,55.4769,5.9676,,2.9767,5.8350
2020-09-04,34.7931,57.7814,5.1071,,31.8875,5.8977,36.7541,143.3712,29.3259,58.3540,23.3889,35.8400,107.5023,315.8657,76.8221,3.8134,2.8462,26.5284,21.6047,29.5359,77.1572,70.5052,11.7025,18.3024,246.4685,1584.1081,46.6922,27.3673,35.1744,42.7625,17.1998,33.2079,11.3911,59.6644,4.0326,4.9184,208.4673,6.6003,82.9755,67.5400,28.0680,6.4474,13.5036,11.6568,,54.1091,5.8375,,2.9104,5.8256
2020-09-07,34.9230,56.7809,5.0711,,31.6126,6.1934,36.7739,137.4893,31.5628,58.4403,23.5301,35.9566,107.0789,311.3978,75.9855,3.8361,2.8390,26.4097,21.2401,30.0884,76.7400,70.6136,11.4429,18.3575,244.1488,1584.9996,46.9982,27.6644,36.0637,42.5560,17.3949,33.0451,11.4050,60.5780,4.0565,4.9356,208.8444,6.8206,81.7784,62.2000,28.2778,6.5008,14.0110,11.8415,,53.9527,6.0606,,2.9673,5.8820
2020-09-08,34.1622,55.4000,4.9632,,30.3756,6.0495,36.0230,124.9682,31.0384,55.5578,22.9474,35.1079,98.2711,304.2199,75.9855,3.8437,2.8390,26.2571,21.3130,30.1204,76.0036,66.7112,11.2098,17.7582,239.3065,1549.1719,46.2919,27.0351,34.5561,40.9131,17.3525,32.2017,11.4396,61.5393,4.0724,4.9098,200.5944,6.5360,79.2675,58.8000,27.2669,6.3852,13.8146,11.5401,,51.9303,5.9398,,2.9673,5.8538
2020-09-09,33.3086,55.0527,4.8823,,30.2382,5.9776,35.6278,121.1082,28.7141,54.3955,22.3382,34.9524,98.0098,299.8344,75.5918,3.8892,2.8319,25.8586,20.9940,30.3846,75.3326,64.4890,11.0668,16.9798,228.1042,1525.2809,45.8133,26.6330,33.7092,40.5688,17.1319,31.3830,11.4742,61.6108,4.0724,4.9270,191.4957,6.4167,77.4251,56.8200,26.5134,6.3318,13.5854,11.3651,,51.1682,5.7817,,2.9957,5.8350
2020-09-10,32.6963,54.7468,4.8464,,29.0699,5.7378,34.9460,118.8511,29.1900,54.2361,22.3382,34.4212,99.0552,299.8985,74.1646,3.8740,2.8248,25.9858,21.1489,30.3526,75.2426,66.1692,10.8443,16.9798,238.6202,1533.3040,46.2841,27.1750,33.7092,41.3066,17.1319,32.2757,11.4327,61.4440,4.0644,4.9012,196.1158,6.5819,77.7128,55.4000,25.3499,6.3496,14.1583,11.2096,,52.9562,5.7074,,2.9957,5.8162
2020-09-11,31.3509,55.2347,4.7385,,27.2929,5.8897,34.3829,117.1233,29.5234,53.4325,22.2013,34.0843,98.9507,302.6543,72.7374,3.8285,2.7962,25.5704,21.1398,30.3286,75.4881,65.7627,10.6695,16.7869,255.6314,1547.5673,45.6720,27.3760,33.2857,40.1852,17.3525,34.5740,11.3080,61.5711,4.0088,4.8239,196.8701,6.3892,76.7411,55.4900,25.0828,6.1895,13.8146,11.1415,,54.6660,5.5215,,2.9009,5.7785
2020-09-14,31.4437,56.4336,4.8014,,27.4107,6.0016,34.8670,116.1601,30.5917,53.6583,22.2499,34.5183,101.9197,313.0275,74.3319,3.8209,2.8034,25.5873,21.4224,30.0884,75.5863,67.6146,10.7278,17.0005,257.7288,1576.9854,46.5745,27.9704,33.8277,40.7066,17.8022,36.7590,11.1280,62.8422,4.0088,4.8497,205.0730,6.6462,76.8654,56.2500,25.9412,6.2785,13.6918,11.3943,,56.1804,5.5400,,2.9293,5.8162
