Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,35.6189,58.3354,4.9363,,31.6912,5.8577,37.0999,133.8426,27.9404,57.9156,22.8326,35.9501,107.1626,310.8302,73.8988,3.7300,2.8676,26.7912,20.0095,29.6320,76.3718,65.3111,11.8562,18.4470,233.8841,1582.3430,46.8883,25.3394,34.5815,43.1954,16.2579,31.1709,11.0449,60.3794,4.0724,4.9958,194.3243,6.5636,83.5741,65.0100,26.5039,6.4919,13.1189,11.8998,,53.0539,5.5122,,2.9862,5.8256
2020-09-02,35.8045,58.1948,4.9722,,33.2620,5.8737,37.3173,131.7545,29.6626,59.1111,23.3977,35.8465,108.7255,312.9909,73.6036,3.7527,2.8462,26.6301,20.3194,29.4639,75.7745,65.5821,11.9091,17.9304,239.8767,1577.8768,46.5274,25.9600,34.9965,42.1330,16.3767,32.5470,10.9687,60.0616,4.0406,4.9614,206.3741,6.4442,82.8045,64.0200,27.0189,6.4474,13.1353,11.7832,,55.9655,5.6144,,2.9293,5.8162
2020-09-03,34.7467,58.4760,5.0352,,30.9941,5.8098,36.7739,130.5046,29.8309,58.0684,23.3447,35.3606,107.6226,314.0346,74.3418,3.7830,2.8390,26.5623,21.2401,29.4319,76.8136,66.6480,11.8191,18.0475,245.0284,1586.5239,46.5431,26.3271,34.9627,41.0804,16.7246,32.4286,11.0102,59.7041,4.0167,4.9270,208.8444,6.3800,83.4108,63.0300,26.9712,6.4474,13.2253,11.6762,,53.8844,5.7631,,2.9009,5.8067
2020-09-04,34.2550,56.3923,4.9632,,30.4836,5.7139,35.9439,133.2029,28.4940,57.1186,22.3735,34.4730,104.8469,303.7621,73.4461,3.7603,2.8248,26.0367,20.8755,29.1036,75.5781,66.1241,11.3370,17.8271,234.2321,1556.4819,46.0487,26.0999,34.0564,41.5624,16.8094,31.5063,11.0033,59.2274,4.0008,4.8754,198.0015,6.3433,80.1070,63.5100,26.8949,6.3407,13.1598,11.4818,,51.7837,5.5865,,2.8630,5.7879
2020-09-07,33.8653,54.9783,4.7564,,29.8749,5.7858,35.4697,123.7772,28.9407,54.4619,22.5015,34.3369,94.0894,295.8151,74.0170,3.7679,2.8176,25.2651,20.1918,29.3758,74.8663,64.6787,11.0350,17.3587,231.9704,1519.0140,45.5543,26.5544,33.8362,40.1065,16.9028,30.5297,11.1141,59.3863,3.9849,4.8411,195.1918,6.3983,78.0937,58.6600,26.9521,6.3229,13.3481,11.3360,,50.6112,5.8096,,2.8914,5.8067
2020-09-08,33.1973,54.2755,4.7564,,29.1582,5.8817,35.4302,120.8436,29.3615,53.8576,22.0733,33.7085,93.8333,294.8080,74.3122,3.7830,2.8176,25.3330,20.4470,29.6400,74.6208,62.8721,10.9662,17.0694,225.5235,1495.0338,45.2875,26.0824,33.1925,38.8768,16.9707,30.3324,11.1418,60.1411,3.9849,4.8583,189.5157,6.1597,77.1064,57.2800,26.0461,6.2962,13.4626,11.2971,,49.8394,5.7260,,2.8914,5.8162
2020-09-09,32.1025,53.5230,4.7474,,29.1484,5.5461,34.2248,110.6532,27.4678,52.5292,21.5303,33.0412,93.0387,285.0208,72.8358,3.7982,2.8105,25.2227,20.1188,29.7521,73.2298,61.4448,10.7013,16.2979,218.2745,1497.6815,44.8794,25.4793,32.5573,38.6604,16.7246,29.4545,11.2249,60.6416,4.0008,4.8583,184.6128,6.1597,75.5284,54.1100,24.9112,6.2518,13.2662,11.0054,,49.1554,5.5586,,2.9199,5.7785
2020-09-10,29.8757,53.6719,4.5586,,26.5075,5.4741,33.9383,114.3294,28.1314,52.3432,21.4906,33.1384,96.4416,288.0604,72.3535,3.7982,2.7891,25.3754,20.5564,29.9203,73.8926,62.7817,10.5953,16.4012,224.2380,1515.4749,45.2875,25.7153,32.7944,39.3490,16.7585,30.9440,11.2249,60.6972,3.9769,4.7981,188.9971,6.2698,75.3962,52.7600,24.5106,6.1895,13.5854,10.8401,,50.7676,5.4657,,2.8819,5.7597
2020-09-11,29.9685,53.3990,4.5047,,25.8595,5.5141,33.7999,112.4913,28.2350,51.4665,21.6760,32.6978,95.8405,291.6310,70.4441,3.7451,2.7820,25.2651,20.4197,29.6400,73.3117,63.4592,10.4152,16.0361,234.4834,1504.7774,44.8873,26.0387,32.4980,38.6407,16.9367,31.6444,10.9964,60.5065,3.9769,4.7895,191.4014,6.1780,75.4895,52.6600,24.3485,6.0739,13.4626,10.8985,,51.9986,5.2984,,2.8630,5.7409
2020-09-14,30.8963,54.7385,4.6575,,26.3798,5.7378,34.2939,111.4105,29.5558,51.3669,21.7290,33.3651,99.3166,302.6818,72.4421,3.7754,2.7891,25.2991,20.7205,29.6801,74.7190,65.3653,10.4894,16.5114,242.1481,1542.7356,45.7112,26.7030,32.7097,38.4440,17.1658,35.1659,10.9964,61.6664,3.9849,4.7981,195.6821,6.2882,75.0153,54.8000,24.7014,6.1184,13.3890,11.0929,,54.0407,5.4378,,2.8914,5.7691
2020-09-15,30.8406,56.6073,4.6126,,26.6056,5.7299,34.2939,111.3590,30.2680,51.1876,21.2345,33.7603,100.7906,306.1975,72.3535,3.7830,2.7891,25.3669,20.6658,29.8082,73.6553,65.9434,10.5953,16.6974,234.1161,1558.0419,45.8446,26.9827,33.0316,39.1818,17.4034,34.9440,11.0726,61.6108,4.0008,4.7981,200.0098,6.5269,75.7694,53.7100,25.4834,6.0917,13.3644,11.0443,,53.3470,5.4471,,2.8725,5.7691
2020-09-16,30.9427,57.2191,4.5946,,26.7725,5.9296,34.4817,113.9985,32.0484,48.3449,21.3581,34.0584,99.5779,298.4702,72.7866,3.7830,2.7891,25.5025,21.6959,30.2485,73.3117,67.6597,10.6271,17.1520,239.8960,1532.4126,46.1428,27.8305,32.8368,38.6506,17.2931,35.4372,11.0518,62.9481,4.0008,4.8067,202.2538,6.3524,75.0931,55.5100,24.9970,6.0561,13.4872,10.9665,,52.1061,5.4936,,2.8725,5.7785
2020-09-17,30.6180,57.3101,4.5856,,26.9394,5.8417,34.1951,113.1309,34.0393,48.2254,20.8372,34.1296,99.8393,287.8773,72.1862,3.8058,2.8034,24.8243,21.7050,30.3046,70.3661,67.1177,10.6377,17.3587,234.8700,1478.0338,45.6563,28.6696,31.7696,38.4046,17.2507,35.3139,11.1557,63.1567,4.0167,4.7981,196.6626,6.1872,73.0019,55.8000,25.0447,6.0206,13.5854,10.9179,,51.7837,5.5122,,2.8440,5.7691
2020-09-18,30.9056,57.9137,4.6036,,27.2045,6.0575,34.5805,116.4248,36.0949,49.0224,20.6959,35.2504,102.0504,288.2160,71.7236,3.8134,2.8034,25.0532,22.3431,30.2645,70.5461,67.1177,10.6112,17.6273,227.2150,1457.5392,45.8760,29.4388,32.1592,40.1950,17.3525,35.0673,11.1834,63.7827,4.0565,4.8067,197.9072,6.2606,73.5461,56.8300,25.7981,6.1095,13.5936,11.0054,,52.5458,5.6795,,2.8630,5.7785
2020-09-21,31.4530,57.3928,4.6036,,27.6758,6.1614,35.2424,119.6231,33.7771,48.5176,20.7224,35.0172,102.9024,289.2964,72.1764,3.8513,2.8176,26.1808,22.7898,30.9051,71.7980,67.5694,10.6695,17.9786,230.0373,1485.7538,46.6058,29.7185,32.6335,40.9033,17.2337,34.5297,11.3980,64.9463,4.1360,4.8583,196.1158,6.2698,73.8104,56.4100,26.1415,6.2518,13.9373,11.2290,,53.5131,5.7445,,2.9388,5.8067
2020-09-22,31.6293,57.4341,4.5406,,27.1554,6.0815,34.4323,116.3954,33.6703,48.2719,20.5944,35.2440,103.4617,292.0888,67.8161,3.7982,2.8034,25.8586,22.3340,30.2165,71.9943,65.0401,10.4629,17.7031,225.3786,1470.9021,45.9153,29.1941,32.4557,39.1129,16.9961,34.1992,11.3634,63.3975,4.1042,4.8067,191.9483,5.9761,73.7638,55.6200,26.3036,6.2073,13.7000,10.8887,,53.7378,5.6423,,2.8725,5.7597
2020-09-23,31.3880,57.4507,4.5137,,26.7038,6.1454,34.3927,116.1675,34.4116,48.2586,20.5944,35.2310,99.8916,304.5770,67.7964,3.7830,2.7962,25.6382,22.5710,29.9443,72.6980,63.5767,10.4258,17.7100,224.2284,1445.0677,45.5229,29.2815,32.5912,38.7981,16.9622,34.4754,11.2665,62.9481,4.0644,4.7895,193.5512,5.8567,74.2846,55.8200,26.1605,6.1895,13.6100,10.9860,,54.5097,5.6516,,2.8630,5.7597
2020-09-24,30.6458,57.6078,4.3968,,25.3883,6.0175,33.9284,114.6970,34.3177,48.6970,20.7798,34.4665,99.3741,302.1324,67.3338,3.7148,2.7677,25.3754,22.2520,29.5439,71.4298,62.6101,10.2245,17.7307,222.6046,1450.2203,44.8323,28.5647,31.8458,38.4735,16.4022,34.3324,11.1141,61.7925,4.0247,4.7293,198.6238,5.5079,74.6266,54.5000,26.0938,6.1006,13.3644,10.6554,,53.9430,5.4285,,2.7966,5.7126
2020-09-25,30.6365,57.9468,4.3249,,25.0348,6.0575,33.8691,114.0206,33.6023,48.8630,20.8946,35.0755,99.6250,300.0633,67.3042,3.7148,2.7677,25.3923,21.8053,29.6881,71.4707,62.0591,10.2510,17.5378,219.4633,1448.6157,44.3536,28.0403,31.9898,37.6078,15.7997,33.9082,11.2111,61.7925,4.0247,4.7207,202.9327,5.5997,75.5672,53.6600,26.2273,6.0917,12.9225,10.4610,,52.8389,5.4099,,2.7777,5.5997
2020-09-28,30.2283,57.8476,4.3698,,25.1821,6.2093,33.6320,111.6090,34.2012,46.8306,21.0138,35.7493,100.2627,299.7612,67.1763,3.7224,2.7677,25.4856,22.3614,29.6640,72.0925,62.3391,10.4576,17.1934,221.8990,1457.6997,44.0711,27.8218,32.1846,37.5193,15.9694,35.5851,11.3980,62.1215,4.0247,4.7207,205.9970,5.5905,74.5489,49.9000,26.6660,6.1362,13.0125,10.4124,,54.2263,5.2426,,2.7777,5.4679
2020-09-29,30.3118,58.7075,4.3968,,25.2312,6.1614,33.7999,114.8220,33.7480,47.2557,21.2875,35.8206,102.1549,302.9107,67.4420,3.7451,2.7748,25.6382,22.2884,29.0395,72.7389,63.5225,10.3304,17.2209,223.3488,1472.9525,43.7572,27.5770,32.2016,38.2768,16.0543,36.1573,11.4119,61.5517,4.0167,4.7293,207.4301,5.6548,75.1397,49.4500,27.2955,6.1540,13.1189,10.4804,,55.3011,5.2240,,2.7777,5.4679
2020-09-30,30.3396,59.7659,4.3878,,24.7894,6.3612,33.7604,116.3219,34.6706,48.5907,21.8967,36.3000,106.5301,310.6562,67.4716,3.7451,2.7677,25.3414,22.4434,28.6632,73.2298,62.0591,10.3516,16.7112,227.6306,1479.8167,42.9254,27.6470,32.4387,39.7425,16.0373,36.7738,11.3426,60.9980,4.0088,4.7121,208.6842,5.5722,78.3580,49.5000,27.3622,6.0206,12.8734,10.3832,,55.2034,5.1682,,2.7303,5.4868
2020-10-09,30.8592,60.3695,4.4957,,25.1919,6.4171,34.3927,117.8659,38.5876,47.8269,22.5589,37.5892,114.8779,324.1332,67.9440,3.8058,2.7962,25.7145,23.1453,28.9274,74.3344,63.6399,10.5265,16.6905,234.8700,1504.7774,42.9882,28.2676,33.0909,40.0868,16.0373,39.0129,11.4257,62.0011,4.0406,4.7551,189.1857,5.6456,79.2908,50.5000,28.2778,6.1006,12.9880,10.5485,,57.3236,5.2519,,2.7966,5.4962
2020-10-12,31.4437,59.7824,4.6395,,25.5257,6.4970,35.2820,119.4834,38.9922,48.1789,23.3315,39.5847,118.8140,330.5146,67.9932,3.8285,2.7962,26.1045,23.3185,29.0636,75.5863,65.4917,10.7013,16.8076,234.2514,1515.4749,43.5924,28.0228,34.3867,40.9328,15.9694,39.7034,11.4742,62.8438,4.0406,4.7809,189.5157,5.7282,80.7445,51.1800,29.3937,6.1273,13.1762,10.8110,,58.7989,5.2984,,2.8345,5.4962
2020-10-13,32.6128,60.7250,4.6216,,25.9282,6.6649,35.3017,129.1517,40.4652,49.8260,24.9428,40.5824,119.7026,340.7688,68.6133,3.8134,2.8034,26.4436,24.5948,29.7281,76.1836,68.9967,10.8920,17.2898,239.1035,1546.6759,44.1810,28.1976,34.9711,41.6608,16.1052,39.2152,11.4881,64.1679,4.0485,4.8153,196.8701,5.8934,83.5663,55.9300,29.4413,6.1451,13.1353,10.9860,,59.4145,5.3263,,2.8535,5.5056
2020-10-14,32.3808,61.8496,4.4867,,25.6533,7.3601,35.7661,127.1960,41.4687,51.6857,25.2342,40.3621,122.7344,341.3913,67.8062,3.7830,2.7820,26.1808,24.8865,29.9363,75.8972,71.7789,11.0244,17.7031,239.1228,1538.6528,43.1765,27.9791,35.0728,41.1886,16.1900,38.7170,11.4327,64.6012,4.0406,4.7895,194.7015,5.8475,84.0249,55.7700,28.3350,6.1095,13.1025,10.8790,,57.9293,5.2240,,2.8156,5.4774
2020-10-15,32.2138,61.8330,4.4507,,25.2508,7.1923,35.3412,124.9829,42.5143,50.0718,25.0355,40.3362,123.8844,331.0273,68.4165,3.7830,2.7891,26.2232,24.8409,30.4647,75.7336,71.5802,11.0297,17.8064,238.2046,1534.1955,43.1765,27.7431,34.9288,40.6574,15.9524,36.9957,11.4396,65.2432,4.0485,4.7637,190.4586,5.9577,84.1882,56.2000,28.3255,6.1006,13.1680,10.8790,,58.1345,5.0846,,2.8061,5.4397
2020-10-16,31.6478,61.7669,4.3788,,24.9661,7.2802,34.9658,124.2551,40.4652,49.6998,24.7883,40.0447,117.2511,339.8624,68.1310,3.7982,2.7891,26.1977,24.6130,31.1292,75.3735,70.7491,10.8867,17.6342,234.8700,1518.1493,43.0431,26.2222,34.5985,39.0244,16.0458,37.4248,11.5781,65.4037,4.0565,4.7637,190.1192,6.0220,83.1776,57.7000,28.4209,6.1184,13.1598,10.7624,,56.5908,5.0102,,2.8156,5.3927
