Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,35.9993,58.3437,4.9722,,32.2606,5.9936,37.2382,134.9160,28.1605,58.2477,22.8326,36.3583,107.9414,313.1191,74.8142,3.7451,2.8676,26.7997,20.3559,29.9923,77.3127,65.6001,11.8668,18.6675,240.1957,1597.4888,47.6339,25.3482,35.3015,44.3168,16.3767,31.2202,11.1557,60.4430,4.0883,5.0044,195.1729,6.6095,84.9811,66.3000,26.9140,6.4919,13.2008,11.9387,,53.6303,5.5772,,2.9957,5.8538
2020-09-02,35.9900,59.5344,5.0532,,33.8707,5.9936,37.7718,136.7541,31.0384,59.3170,23.7200,37.1552,111.5273,320.4435,74.9422,3.8058,2.8747,27.2999,20.5838,30.0163,77.7300,67.3887,12.1052,18.9774,239.9927,1626.9069,47.4377,26.4320,35.6572,44.8972,16.6313,33.5383,11.1626,60.8640,4.1042,5.0388,209.0707,6.6554,83.6984,65.5000,27.5434,6.5719,13.1926,12.0943,,56.6689,5.6237,,2.9957,5.8444
2020-09-03,35.7209,58.7075,5.1970,,32.2017,5.9936,37.6137,133.7249,30.0672,59.2440,23.4772,36.5915,109.7709,317.6877,74.8044,3.7906,2.8533,27.0371,21.5136,29.7201,77.4845,66.9461,12.2005,18.0820,260.9667,1600.1632,46.8727,27.4809,35.3353,41.4935,16.7585,33.5136,11.0656,60.3715,4.0724,4.9786,208.8444,6.4351,85.1987,64.1900,27.3718,6.5008,13.3153,11.8512,,55.3011,5.9676,,2.9483,5.8256
2020-09-04,34.3385,57.4672,4.9902,,30.5130,5.7458,36.3490,133.8131,28.7465,57.4574,23.1902,35.1014,105.7042,314.0346,74.1449,3.7830,2.8390,26.1045,21.2036,29.3278,76.8136,66.7835,11.6549,18.0406,246.4685,1574.3110,46.2762,26.3970,34.8187,41.8378,16.8858,32.0587,11.0449,59.4260,4.0167,4.8926,206.4873,6.3524,82.9755,63.9000,26.9044,6.3852,13.2990,11.5498,,51.7837,5.6516,,2.8725,5.7879
2020-09-07,34.7746,56.3096,5.0532,,31.3672,5.7938,36.5367,137.4893,28.9666,57.7828,23.2609,35.5873,106.0596,307.7906,75.7985,3.8134,2.8319,26.3080,21.2036,29.4639,76.0936,69.7555,11.3741,18.0475,235.8366,1568.9623,46.6137,26.9914,35.2168,42.3887,16.9622,32.5519,11.2457,59.4419,4.0247,4.8926,204.6015,6.5177,81.0554,61.4000,27.8582,6.4385,13.3562,11.5887,,53.7769,5.8747,,2.9104,5.8162
2020-09-08,33.9674,55.1520,4.8374,,30.1989,5.9456,35.6179,124.1815,31.0384,55.0066,22.5633,34.6674,96.7030,297.5913,74.6469,3.7906,2.8248,25.3923,20.6020,29.7681,74.9644,65.4827,11.0456,17.5240,237.7697,1544.0015,45.9074,26.8166,33.9633,40.8246,17.1489,30.7714,11.1764,60.3635,4.0008,4.8668,199.2084,6.4167,77.9771,58.2000,27.1810,6.3496,13.6509,11.3846,,51.7251,5.9026,,2.9009,5.8444
2020-09-09,33.1323,54.5732,4.8733,,29.6295,5.9217,35.5882,120.9538,28.4907,54.3955,22.2985,34.6414,93.5667,298.1406,74.8142,3.8058,2.8176,25.5280,20.9849,29.8402,74.8990,64.3174,10.9715,16.9798,226.7317,1515.1807,45.5386,26.4844,33.3958,39.1523,16.8858,30.4903,11.3426,60.6813,4.0406,4.8583,188.8557,6.2790,77.2697,56.6000,26.5134,6.2962,13.4626,11.2582,,50.1032,5.6981,,2.9293,5.8162
2020-09-10,32.6220,54.1680,4.8284,,28.6968,5.6340,34.7287,116.9027,28.4357,53.7978,21.9100,33.9417,96.7030,288.3991,73.5740,3.8664,2.8176,25.7314,20.5746,30.3286,74.8663,63.8115,10.8019,16.8076,224.2380,1518.8090,45.7505,25.7153,33.5398,39.3589,16.9452,31.3583,11.3426,61.1421,4.0326,4.8840,189.5063,6.3341,77.7128,54.8000,25.1019,6.3140,13.5854,11.1415,,51.2952,5.5772,,2.9862,5.8067
2020-09-11,30.6087,54.1597,4.5856,,26.5762,5.5141,33.7999,114.6602,28.4389,53.1336,21.6892,32.8987,97.2257,292.9769,72.7079,3.8209,2.7891,25.3245,20.7296,30.3206,73.3117,64.4077,10.6589,16.6698,234.5027,1504.7774,45.5543,26.3446,33.2857,39.3785,16.9707,31.9403,11.2872,60.7051,4.0008,4.7981,192.3443,6.3341,75.6372,52.7800,24.6537,6.1895,13.7409,10.9860,,51.9986,5.4657,,2.8914,5.7691
2020-09-14,31.3417,54.8047,4.7295,,27.2536,5.8657,34.6694,115.5793,29.5558,52.7949,22.0866,34.3240,99.5779,306.3440,72.6980,3.7982,2.7962,25.5110,21.2401,29.9443,75.3572,65.8350,10.6483,16.5872,253.2827,1555.5904,45.7112,27.2274,33.6668,40.5787,17.3101,35.3632,11.0795,61.6664,4.0088,4.8153,196.1158,6.4259,76.3368,55.6100,25.1782,6.1451,13.5854,11.1221,,54.7637,5.5122,,2.9009,5.7785
