Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,4.3348,4.7982,2.2158,,3.4569,7.9576,7.1937,15.3179,4.6099,10.7984,24.7793,10.7204,8.4176,20.8727,4.8538,0.6263,0.7047,2.4477,3.7719,1.5769,18.7887,5.6446,3.4272,3.0491,21.4227,16.4957,2.2349,3.6994,9.8764,3.4730,3.0304,8.1827,0.9245,1.9890,0.8087,1.2382,23.9830,4.1097,10.2165,5.0338,6.3895,1.0828,1.3578,4.5677,,17.4867,2.4448,,1.0967,1.6828
2020-09-02,4.3538,4.7466,2.2834,,3.3813,8.0651,7.1580,14.8326,4.6493,10.8433,24.6410,10.5745,8.3021,20.8998,4.8282,0.6288,0.6995,2.4317,3.9435,1.5676,18.9306,5.5868,3.4770,2.9409,23.5633,16.4318,2.2126,3.8475,9.8955,3.3612,3.0490,8.2714,0.9137,1.9773,0.7993,1.2297,24.6689,3.9921,10.4262,4.9429,6.3740,1.0696,1.3628,4.4619,,17.5849,2.6652,,1.0760,1.6828
2020-09-03,4.2215,4.7466,2.2715,,3.1855,7.8716,6.9818,15.2412,4.5650,10.6903,24.7424,10.2488,8.2467,20.6939,4.8602,0.6338,0.6977,2.4027,4.0403,1.5584,18.9906,5.7617,3.3864,2.9877,22.9658,16.4135,2.2078,3.8303,9.8836,3.4003,3.1064,8.0817,0.9217,1.9633,0.7946,1.2149,24.8127,3.9529,10.2592,5.0130,6.3428,1.0638,1.3737,4.4072,,17.0542,2.5346,,1.0656,1.6773
2020-09-04,4.2014,4.6034,2.2357,,3.1875,7.7855,6.9349,15.4110,4.4373,10.6199,24.2121,10.2806,8.0251,20.2197,4.9748,0.6326,0.6960,2.3661,3.9384,1.5508,18.6927,5.8909,3.2520,2.9453,21.2301,16.2029,2.2034,3.7667,9.7480,3.3511,3.1049,8.0756,0.9257,1.9484,0.7914,1.2085,24.3149,3.9193,9.9831,5.1055,6.4318,1.0608,1.3796,4.3598,,16.8824,2.5509,,1.0587,1.6800
2020-09-07,4.1027,4.4636,2.1402,,3.0493,7.9253,6.7605,14.0169,4.6710,10.0576,23.5341,10.0860,7.3234,19.5584,4.8340,0.6288,0.6925,2.2800,3.8075,1.5504,18.3109,5.5397,3.1479,2.8382,21.0877,15.7772,2.1600,3.7545,9.6053,3.2041,3.1157,7.6037,0.9200,1.9547,0.7852,1.1958,23.1511,3.9697,9.5315,4.5293,6.3027,1.0447,1.3913,4.2649,,16.0389,2.5836,,1.0587,1.6855
2020-09-08,4.0612,4.4756,2.1919,,3.0025,8.0329,6.8167,13.7665,4.4866,10.0527,23.3451,9.9886,7.3431,19.7925,4.9198,0.6376,0.6942,2.3364,3.9724,1.5841,18.4568,5.6005,3.1614,2.8226,20.5920,15.6665,2.1815,3.7569,9.4863,3.1486,3.1033,7.7229,0.9440,2.0088,0.8008,1.2064,22.5892,3.9417,9.5713,4.4331,6.1647,1.0477,1.3913,4.3014,,16.1831,2.5550,,1.0795,1.6855
2020-09-09,3.8965,4.3404,2.1084,,2.9578,7.4844,6.5392,12.7704,4.2396,9.6423,22.6072,9.6742,7.2417,18.7827,4.7501,0.6439,0.6890,2.2937,3.8041,1.5845,18.0510,5.2980,3.0543,2.6674,19.6491,15.4523,2.1385,3.5698,9.3174,3.1205,3.1018,7.6439,0.9308,1.9916,0.7899,1.2001,21.8126,3.7682,9.3152,4.1681,5.8330,1.0345,1.3737,4.1445,,15.8426,2.4407,,1.0864,1.6692
2020-09-10,3.6980,4.4100,2.0249,,2.7083,7.4199,6.4810,12.8882,4.2938,9.6180,22.6072,9.6387,7.2669,19.1432,4.7187,0.6351,0.6855,2.2868,3.8840,1.5887,18.1390,5.4576,3.0497,2.6786,20.9322,15.6152,2.1441,3.6872,9.2342,3.1502,3.1142,7.7728,0.9320,1.9927,0.7883,1.1873,22.7440,3.9081,9.2876,4.0656,5.7595,1.0198,1.4047,4.1336,,16.2874,2.4081,,1.0518,1.6665
2020-09-11,3.7776,4.4288,2.0845,,2.7600,7.8178,6.5073,12.8950,4.4965,9.5099,22.9899,9.7828,7.3588,19.7919,4.6867,0.6351,0.6837,2.2937,3.9197,1.5693,18.3529,5.4842,3.0044,2.6897,22.6282,15.8642,2.1496,3.8132,9.2389,3.1853,3.1592,8.4916,0.9154,2.0106,0.7867,1.1852,22.9221,3.8689,9.3170,4.2543,5.8218,1.0110,1.3888,4.1700,,17.1616,2.4244,,1.0552,1.6665
2020-09-14,3.7530,4.5506,2.0845,,2.7013,7.8070,6.5692,12.5832,4.5606,9.4880,22.9023,9.7341,7.5741,20.2697,4.7572,0.6338,0.6855,2.2907,3.8976,1.5740,18.2629,5.6309,3.0452,2.7377,21.9330,16.1663,2.1937,3.8988,9.2818,3.1213,3.2430,8.8564,0.9194,2.0455,0.7883,1.1873,23.7065,3.9977,9.2601,4.2274,5.9910,1.0140,1.3863,4.2357,,17.2413,2.4081,,1.0587,1.6719
2020-09-15,3.7675,4.7125,2.0766,,2.7431,8.1404,6.5823,13.1246,4.9944,9.5585,22.9577,10.0673,7.6495,20.3467,4.7751,0.6326,0.6855,2.3036,4.0811,1.5971,18.2110,5.7313,3.0558,2.8159,21.6049,16.1114,2.1937,3.9135,9.4982,3.1463,3.1949,8.7531,0.9194,2.0810,0.7930,1.1937,24.6224,4.0145,9.3645,4.3437,5.9999,1.0081,1.3955,4.1956,,17.0205,2.4571,,1.0552,1.6719
2020-09-16,3.7698,4.6616,2.0527,,2.7759,8.0866,6.5917,12.7926,5.1966,9.1626,22.4458,9.9568,7.5537,19.7449,4.7495,0.6389,0.6890,2.3044,4.0862,1.6039,17.9391,5.7221,3.0784,2.8304,22.0272,15.7919,2.1956,4.0726,9.3008,3.0798,3.1980,8.9026,0.9303,2.0902,0.7961,1.1958,24.0339,3.9417,9.2317,4.3689,5.8708,0.9993,1.4106,4.1445,,16.6217,2.4203,,1.0552,1.6800
2020-09-17,3.7418,4.7246,2.0806,,2.7629,8.2049,6.5729,13.1625,5.7162,8.9974,21.9523,10.3611,7.7949,19.1095,4.7821,0.6389,0.6872,2.2571,4.2578,1.5959,17.2494,5.7693,3.0543,2.8572,21.1559,15.2923,2.1700,4.3796,9.0772,3.1932,3.1685,9.0608,0.9245,2.1009,0.7914,1.1831,23.4664,3.8074,9.0400,4.4460,6.0400,1.0066,1.3938,4.1554,,16.4653,2.4856,,1.0449,1.6692
2020-09-18,3.7866,4.7031,2.0965,,2.8315,8.6028,6.6723,13.4168,5.6946,9.1444,21.9984,10.3779,7.7804,19.4886,4.7937,0.6477,0.6925,2.3554,4.2816,1.6431,17.7872,5.7001,3.0844,2.9118,21.0946,15.5164,2.2249,4.2732,9.3603,3.2494,3.2135,8.7626,0.9537,2.2043,0.8212,1.2085,23.8945,3.9361,9.1591,4.4452,6.1625,1.0359,1.4572,4.2649,,17.0849,2.5387,,1.0760,1.6800
2020-09-21,3.8897,4.6864,2.0408,,2.8136,8.3770,6.7173,13.4159,5.2148,8.9659,21.7494,10.4491,7.7764,19.2298,4.7187,0.6452,0.6942,2.3577,4.2850,1.6266,17.6912,5.7769,3.0467,2.9654,20.6378,15.2582,2.2145,4.1912,9.1700,3.2924,3.1530,8.6580,0.9543,2.1522,0.8212,1.1979,23.1213,3.8466,9.0292,4.3504,6.2426,1.0374,1.4337,4.2248,,16.8119,2.5591,,1.0760,1.6773
2020-09-22,3.8415,4.6770,2.0169,,2.7590,8.4200,6.5598,13.0190,5.2641,8.8529,21.6018,10.2918,7.8774,20.2799,4.4306,0.6351,0.6872,2.3341,4.2017,1.5963,17.8511,5.4736,2.9924,2.8839,20.2837,15.2480,2.1767,4.1190,9.1890,3.1682,3.1111,8.5121,0.9417,2.1027,0.8118,1.1873,22.8668,3.6730,9.0121,4.3042,6.1892,1.0301,1.4144,4.1007,,17.1002,2.4979,,1.0552,1.6638
2020-09-23,3.8135,4.7560,2.0368,,2.7440,8.4953,6.5636,13.1486,5.4431,9.0496,22.3812,10.2394,7.7399,20.2595,4.4204,0.6313,0.6855,2.3105,4.2476,1.5803,17.9591,5.4044,2.9908,2.9576,20.4046,15.1042,2.1570,4.1643,9.2413,3.1330,3.1049,9.3634,0.9326,2.0892,0.8055,1.1831,24.0604,3.6114,9.2938,4.3322,6.1536,1.0213,1.3988,4.1409,,17.2996,2.4856,,1.0449,1.6610
