Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020/9/1,-0.8462 ,1.6445 ,1.2719 ,,6.0059 ,-1.8554 ,1.7777 ,0.8790 ,10.0003 ,1.2757 ,3.3867 ,2.6522 ,3.8285 ,1.2848 ,-0.7722 ,0.4059 ,0.0000 ,0.9747 ,0.2710 ,-0.7165 ,-0.9276 ,1.3235 ,2.0139 ,1.6370 ,-0.7951 ,0.8665 ,0.0266 ,4.3477 ,-1.0016 ,-0.4705 ,1.1919 ,6.3210 ,-0.0617 ,-0.3133 ,0.3889 ,-0.3414 ,4.2308 ,2.8734 ,-2.0289 ,-1.9946 ,2.5733 ,0.8177 ,0.6830 ,1.3767 ,,3.65459695,-0.332945494,,0.317121207,-0.480966025
2020/9/2,0.4395 ,-1.0739 ,3.0510 ,,-2.1857 ,1.3511 ,-0.4952 ,-3.1681 ,0.8554 ,0.4160 ,-0.5586 ,-1.3616 ,-1.3722 ,0.1297 ,-0.5276 ,0.4016 ,-0.7444 ,-0.6538 ,4.5495 ,-0.5881 ,0.7554 ,-1.0234 ,1.4536 ,-3.5507 ,9.9923 ,-0.3874 ,-0.9951 ,4.0012 ,0.1928 ,-3.2185 ,0.6143 ,1.0849 ,-1.1767 ,-0.5891 ,-1.1622 ,-0.6850 ,2.8597 ,-2.8614 ,2.0524 ,-1.8057 ,-0.2440 ,-1.2173 ,0.3701 ,-2.3168 ,,0.561203698,9.015966522,,-1.8933848,0
2020/9/3,-3.0380 ,0.0000 ,-0.5212 ,,-5.7925 ,-2.4009 ,-2.4628 ,2.7551 ,-1.8132 ,-1.4110 ,0.4121 ,-3.0797 ,-0.6672 ,-0.9847 ,0.6630 ,0.8052 ,-0.2488 ,-1.1913 ,2.4558 ,-0.5913 ,0.3168 ,3.1291 ,-2.6048 ,1.5944 ,-2.5359 ,-0.1114 ,-0.2177 ,-0.4449 ,-0.1203 ,1.1629 ,1.8826 ,-2.2938 ,0.8768 ,-0.7112 ,-0.5892 ,-1.2071 ,0.5830 ,-0.9809 ,-1.6017 ,1.4181 ,-0.4889 ,-0.5484 ,0.7991 ,-1.2262 ,,-3.017622286,-4.901233958,,-0.963266967,-0.322193659
2020/9/4,-0.4779 ,-3.0171 ,-1.5757 ,,0.0626 ,-1.0924 ,-0.6715 ,1.1136 ,-2.7975 ,-0.6588 ,-2.1436 ,0.3103 ,-2.6871 ,-2.2915 ,2.3580 ,-0.1997 ,-0.2530 ,-1.5230 ,-2.5233 ,-0.4867 ,-1.5684 ,2.2428 ,-3.9680 ,-1.4197 ,-7.5576 ,-1.2828 ,-0.2015 ,-1.6611 ,-1.3716 ,-1.4484 ,-0.0494 ,-0.0751 ,0.4350 ,-0.7562 ,-0.3943 ,-0.5236 ,-2.0062 ,-0.8502 ,-2.6912 ,1.8439 ,1.4040 ,-0.2757 ,0.4269 ,-1.0763 ,,-1.007105515,0.644445984,,-0.650707216,0.161617551
2020/9/7,-2.3480 ,-3.0381 ,-4.2706 ,,-4.3358 ,1.7958 ,-2.5147 ,-9.0457 ,5.2669 ,-5.2944 ,-2.8002 ,-1.8934 ,-8.7437 ,-3.2709 ,-2.8314 ,-0.6003 ,-0.5002 ,-3.6403 ,-3.3217 ,-0.0272 ,-2.0426 ,-5.9613 ,-3.2039 ,-3.6378 ,-0.6711 ,-2.6271 ,-1.9679 ,-0.3248 ,-1.4642 ,-4.3853 ,0.3498 ,-5.8435 ,-0.6180 ,0.3208 ,-0.7917 ,-1.0508 ,-4.7862 ,1.2854 ,-4.5238 ,-11.2855 ,-2.0078 ,-1.5190 ,0.8502 ,-2.1760 ,,-4.996383205,1.280638942,,0,0.32271354
2020/9/8,-1.0110 ,0.2698 ,2.4145 ,,-1.5324 ,1.3566 ,0.8322 ,-1.7869 ,-3.9479 ,-0.0484 ,-0.8034 ,-0.9647 ,0.2682 ,1.1969 ,1.7749 ,1.4065 ,0.2513 ,2.4741 ,4.3282 ,2.1744 ,0.7970 ,1.0977 ,0.4318 ,-0.5503 ,-2.3504 ,-0.7021 ,0.9951 ,0.0652 ,-1.2383 ,-1.7320 ,-0.3985 ,1.5677 ,2.6132 ,2.7711 ,1.9950 ,0.8846 ,-2.4273 ,-0.7052 ,0.4181 ,-2.1259 ,-2.1900 ,0.2807 ,0.0000 ,0.8552 ,,0.898806029,-1.106390211,,1.961460236,0
2020/9/9,-4.0574 ,-3.0204 ,-3.8109 ,,-1.4901 ,-6.8279 ,-4.0716 ,-7.2357 ,-5.5054 ,-4.0831 ,-3.1606 ,-3.1481 ,-1.3804 ,-5.1018 ,-3.4488 ,0.9899 ,-0.7557 ,-1.8272 ,-4.2340 ,0.0266 ,-2.1987 ,-5.4018 ,-3.3903 ,-5.4963 ,-4.5792 ,-1.3673 ,-1.9708 ,-4.9820 ,-1.7802 ,-0.8939 ,-0.0501 ,-1.0237 ,-1.3951 ,-0.8557 ,-1.3680 ,-0.5273 ,-3.4378 ,-4.4038 ,-2.6765 ,-5.9774 ,-5.3808 ,-1.2582 ,-1.2646 ,-3.6467 ,,-2.103815384,-4.47335407,,0.638988437,-0.96673739
2020/9/10,-5.0920 ,1.6036 ,-3.9619 ,,-8.4369 ,-0.8612 ,-0.8891 ,0.9226 ,1.2792 ,-0.2518 ,0.0000 ,-0.3676 ,0.3473 ,1.9191 ,-0.6603 ,-1.3708 ,-0.5088 ,-0.2991 ,2.0989 ,0.2661 ,0.4872 ,3.0129 ,-0.1484 ,0.4185 ,6.5305 ,1.0545 ,0.2599 ,3.2899 ,-0.8937 ,0.9519 ,0.4003 ,1.6865 ,0.1235 ,0.0523 ,-0.1996 ,-1.0582 ,4.2702 ,3.7148 ,-0.2955 ,-2.4580 ,-1.2598 ,-1.4175 ,2.2560 ,-0.2644 ,,2.807308871,-1.336667506,,-3.184734773,-0.162407782
2020/9/11,2.1520 ,0.4248 ,2.9476 ,,1.9089 ,5.3626 ,0.4053 ,0.4923 ,4.7193 ,-1.1237 ,1.6931 ,1.4953 ,1.2651 ,3.3888 ,-0.6785 ,0.0000 ,-0.2539 ,0.3000 ,0.9185 ,-1.2202 ,1.1792 ,0.4875 ,-1.4858 ,0.4168 ,8.1020 ,1.5946 ,0.2593 ,3.4174 ,0.0517 ,1.1167 ,1.4445 ,9.2471 ,-1.7812 ,0.9018 ,-0.1975 ,-0.1786 ,0.7831 ,-1.0020 ,0.3167 ,4.6419 ,1.0826 ,-0.8611 ,-1.1330 ,0.8833 ,,5.367241439,0.678299874,,0.329643638,0
2020/9/14,-0.6528 ,2.7501 ,0.0000 ,,-2.1252 ,-0.1377 ,0.9509 ,-2.4173 ,1.4253 ,-0.2300 ,-0.3812 ,-0.4973 ,2.9258 ,2.4142 ,1.5027 ,-0.1993 ,0.2546 ,-0.1329 ,-0.5635 ,0.2951 ,-0.4901 ,2.6749 ,1.3574 ,1.7842 ,-3.0719 ,1.9042 ,2.0519 ,2.2456 ,0.4633 ,-2.0121 ,2.6528 ,4.2970 ,0.4371 ,1.7356 ,0.1979 ,0.1789 ,3.4216 ,3.3279 ,-0.6110 ,-0.6337 ,2.9062 ,0.2901 ,-0.1806 ,1.5739 ,,0.464639813,-0.673729965,,0.328560559,0.325343947
