Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,230.2915,23.2807,-97.1753,,65.6510,71.3492,181.4726,641.3795,627.7211,19.6607,168.6610,84.2886,143.6927,74.5962,74.9444,12.4792,-835.4743,28.4460,16.2916,10.2873,94.9656,35.3051,24.3573,22.3411,101.9672,51.3901,9.5895,33.6446,38.7677,115.9630,20.1566,36.2989,8.2803,11.5690,5.1639,26.1736,200.8123,39.1351,124.8078,-963.1971,57.5246,11.9562,7.1101,80.7449,,74.4227,31.0443,,-270.0767,25.5560
2020-09-02,231.3039,23.0307,-100.1412,,64.2160,72.3134,180.5738,621.0604,633.0919,19.7425,167.7193,83.1408,141.7209,74.6930,74.5489,12.5295,-829.2549,28.2599,17.0328,10.2268,95.6830,34.9437,24.7114,21.5479,112.1561,51.1911,9.4941,34.9908,38.8424,112.2307,20.2804,36.6927,8.1829,11.5009,5.1039,25.9943,206.5551,38.0154,127.3693,-945.8131,57.3843,11.8106,7.1364,78.8746,,74.8405,33.8429,,-264.9649,25.5560
2020-09-03,224.2766,23.0307,-99.6178,,60.4963,70.5779,176.1269,638.1712,621.6117,19.4639,168.4099,80.5804,140.7752,73.9575,75.0432,12.6301,-827.1817,27.9233,17.4511,10.1663,95.9861,36.0372,24.0676,21.8913,109.3119,51.1340,9.4734,34.8351,38.7957,113.5357,20.6623,35.8511,8.2547,11.4191,5.0738,25.6806,207.7592,37.6422,125.3294,-959.2258,57.1037,11.7459,7.1934,77.9072,,72.5821,32.1845,,-262.4089,25.4735
2020-09-04,223.2047,22.3358,-98.0476,,60.5341,69.8065,174.9442,645.2777,604.2235,19.3357,164.8000,80.8306,136.9926,72.2628,76.8128,12.6050,-825.1086,27.4981,17.0108,10.1169,94.4806,36.8454,23.1126,21.5806,101.0507,50.4781,9.4543,34.2565,38.2635,111.8914,20.6520,35.8241,8.2905,11.3328,5.0538,25.5462,203.5911,37.3223,121.9565,-976.9128,57.9054,11.7136,7.2241,77.0688,,71.8510,32.3918,,-260.7050,25.5148
2020-09-07,217.9640,21.6572,-93.8605,,57.9096,71.0599,170.5445,586.9077,636.0459,18.3120,160.1856,79.3002,125.0143,69.8992,74.6379,12.5295,-820.9623,26.4970,16.4457,10.1141,92.5508,34.6490,22.3722,20.7955,100.3725,49.1520,9.2683,34.1453,37.7032,106.9845,20.7242,33.7308,8.2393,11.3691,5.0138,25.2773,193.8469,37.8022,116.4394,-866.6756,56.7429,11.5356,7.2855,75.3920,,68.2611,32.8064,,-260.7050,25.5972
2020-09-08,215.7606,21.7157,-96.1285,,57.0221,72.0241,171.9638,576.4205,610.9371,18.3031,158.8985,78.5350,125.3496,70.7358,75.9626,12.7056,-823.0354,27.1526,17.1575,10.3340,93.2884,35.0293,22.4688,20.6810,98.0133,48.8069,9.3605,34.1675,37.2364,105.1314,20.6417,34.2595,8.4546,11.6842,5.1139,25.5013,189.1415,37.5356,116.9262,-848.2514,55.5002,11.5679,7.2855,76.0369,,68.8747,32.4436,,-265.8169,25.5972
2020-09-09,207.0063,21.0598,-92.4648,,56.1725,67.1068,164.9622,534.7129,577.3020,17.5558,153.8761,76.0628,123.6193,67.1269,73.3429,12.8314,-816.8160,26.6565,16.4310,10.3368,91.2373,33.1371,21.7069,19.5444,93.5251,48.1396,9.1760,32.4653,36.5735,104.1918,20.6313,33.9088,8.3367,11.5842,5.0438,25.3669,182.6392,35.8827,113.7967,-797.5479,52.5138,11.4223,7.1934,73.2637,,67.4256,30.9925,,-267.5208,25.3499
2020-09-10,196.4654,21.3975,-88.8011,,51.4332,66.5283,163.4957,539.6460,584.6869,17.5116,153.8761,75.7832,124.0485,68.4152,72.8585,12.6553,-812.6698,26.5767,16.7759,10.3643,91.6818,34.1355,21.6748,19.6261,99.6327,48.6472,9.1999,33.5333,36.2467,105.1836,20.7139,34.4807,8.3469,11.5902,5.0338,25.0980,190.4382,37.2157,113.4606,-777.9445,51.8523,11.2605,7.3557,73.0703,,69.3185,30.5779,,-259.0010,25.3087
2020-09-11,200.6937,21.4884,-91.4181,,52.4151,70.0958,164.1580,543.5570,612.2798,17.3148,156.4815,76.9163,125.6179,70.7336,72.3642,12.6553,-810.5966,26.6565,16.9300,10.2378,92.7630,34.3019,21.3529,19.7079,107.7049,49.4229,9.2238,34.6793,36.2653,106.3581,21.0132,37.6693,8.1983,11.6948,5.0238,25.0532,191.9295,36.8424,113.8199,-814.0560,52.4135,11.1635,7.2724,73.7152,,73.0390,30.7852,,-259.8530,25.3087
2020-09-14,199.3835,22.0793,-91.4181,,51.3010,69.9993,165.7192,530.4176,621.0075,17.2750,155.8851,76.5337,129.2932,72.4413,73.4516,12.6301,-812.6698,26.6210,16.8346,10.2681,92.3083,35.2195,21.6426,20.0595,104.3963,50.3640,9.4130,35.4581,36.4334,104.2179,21.5705,39.2878,8.2341,11.8977,5.0338,25.0980,198.4967,38.0687,113.1244,-808.8972,53.9368,11.1958,7.2592,74.8760,,73.3784,30.5779,,-260.7050,25.3911
