Date,000063.SZ,000333.SZ,000725.SZ,000792.SZ,000938.SZ,002027.SZ,002230.SZ,002371.SZ,002594.SZ,002714.SZ,300015.SZ,300124.SZ,300750.SZ,300760.SZ,600009.SH,600019.SH,600028.SH,600030.SH,600031.SH,600036.SH,600276.SH,600309.SH,600406.SH,600426.SH,600436.SH,600519.SH,600585.SH,600660.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601318.SH,601668.SH,601766.SH,601888.SH,601899.SH,603259.SH,688981.SH,300408.SZ,000617.SZ,600048.SH,600111.SH,605499.SH,002475.SZ,600415.SH,600941.SH,601600.SH,601816.SH
2020-09-01,48858879.00 ,20547663.00 ,738618085.00 ,,63978287.00 ,139095360.00 ,38879323.00 ,4171637.00 ,39461265.00 ,18138507.00 ,28652602.00 ,12330896.00 ,19716189.00 ,3618662.00 ,12902661.00 ,31917704.00 ,87702448.00 ,111589474.00 ,42424527.00 ,71275936.00 ,20966934.00 ,11714066.00 ,14429220.00 ,8342403.00 ,7136159.00 ,3163992.00 ,28657946.00 ,34772563.00 ,86455766.00 ,32484303.00 ,21978518.00 ,53459193.00 ,28662829.00 ,47125055.00 ,122114159.00 ,30643963.00 ,14395127.00 ,444801357.00 ,17786110.00 ,32409415.00 ,14638032.00 ,3994043.00 ,68400387.00 ,48614467.00 ,,86396019.00 ,35061354.00 ,,49580093.00 ,42074680.00 
2020-09-02,50410520.00 ,18310804.00 ,1416863007.00 ,,36509350.00 ,166993139.00 ,28521569.00 ,7220348.00 ,39704708.00 ,38936972.00 ,22737050.00 ,12489308.00 ,14608611.00 ,3552521.00 ,10369061.00 ,54055491.00 ,99417007.00 ,145018242.00 ,99976739.00 ,79722127.00 ,27340726.00 ,12111477.00 ,20741904.00 ,17838115.00 ,9028752.00 ,3200929.00 ,24432938.00 ,31799043.00 ,74919983.00 ,34188242.00 ,27213336.00 ,43136276.00 ,25528161.00 ,55637670.00 ,209964972.00 ,38528783.00 ,15042961.00 ,346897511.00 ,19985762.00 ,36939259.00 ,10545083.00 ,4984355.00 ,86810278.00 ,62993277.00 ,,94504151.00 ,148455947.00 ,,72694144.00 ,50472420.00 
2020-09-03,94640768.00 ,32530873.00 ,1136397561.00 ,,69974855.00 ,126318880.00 ,30880298.00 ,7415508.00 ,22779495.00 ,25418772.00 ,32773076.00 ,12903598.00 ,12452889.00 ,4354561.00 ,17427677.00 ,100855181.00 ,108358605.00 ,126474819.00 ,113489617.00 ,64047956.00 ,19690813.00 ,21062383.00 ,21170674.00 ,15284656.00 ,16895376.00 ,3043735.00 ,23903140.00 ,27515091.00 ,91935496.00 ,30193873.00 ,37817305.00 ,42413895.00 ,31688426.00 ,59983664.00 ,214277363.00 ,49908574.00 ,11493062.00 ,270134571.00 ,23788594.00 ,55435101.00 ,10597753.00 ,3681667.00 ,87621731.00 ,48095960.00 ,,65645180.00 ,81570305.00 ,,57471067.00 ,43568583.00 
2020-09-04,41976286.00 ,35933576.00 ,746424916.00 ,,37788374.00 ,150995305.00 ,29861931.00 ,11758205.00 ,22202132.00 ,18156222.00 ,32969675.00 ,9989895.00 ,14773663.00 ,4608305.00 ,16610714.00 ,54639889.00 ,118317300.00 ,112779651.00 ,74518765.00 ,48543721.00 ,25446452.00 ,19595480.00 ,24387008.00 ,10629497.00 ,11924912.00 ,3085796.00 ,16676326.00 ,19564841.00 ,68140896.00 ,17238919.00 ,22773356.00 ,47279377.00 ,57653846.00 ,47825576.00 ,158077661.00 ,35137810.00 ,12271377.00 ,223535260.00 ,18524369.00 ,53480701.00 ,16139194.00 ,4132414.00 ,72699272.00 ,43233486.00 ,,54168799.00 ,45673476.00 ,,45302113.00 ,52658861.00 
2020-09-07,53251749.00 ,44222648.00 ,944242572.00 ,,40876733.00 ,253379032.00 ,27707817.00 ,14087006.00 ,40998653.00 ,40360191.00 ,27279059.00 ,11644584.00 ,44789699.00 ,3987309.00 ,13984300.00 ,60082770.00 ,110020047.00 ,153562678.00 ,74451590.00 ,61613878.00 ,23396558.00 ,26397078.00 ,22858172.00 ,13859065.00 ,6778961.00 ,3111202.00 ,21031205.00 ,23768218.00 ,80507613.00 ,24542277.00 ,35390961.00 ,49496517.00 ,46097706.00 ,63325076.00 ,241967573.00 ,42365129.00 ,15760300.00 ,350756184.00 ,16270412.00 ,127586361.00 ,15906071.00 ,4823480.00 ,120236610.00 ,51786531.00 ,,72918450.00 ,69533032.00 ,,59695959.00 ,67657385.00 
2020-09-08,46200372.00 ,26350941.00 ,750693511.00 ,,27325443.00 ,140113637.00 ,18424702.00 ,7642170.00 ,27908409.00 ,27806171.00 ,17757568.00 ,10983287.00 ,22073272.00 ,3875931.00 ,11311998.00 ,61566244.00 ,97108373.00 ,140282872.00 ,74171473.00 ,68354491.00 ,20517584.00 ,22394023.00 ,17180065.00 ,10933051.00 ,7590268.00 ,3447238.00 ,19092795.00 ,17240768.00 ,63807454.00 ,28601992.00 ,28269108.00 ,47463816.00 ,63676902.00 ,86603009.00 ,192411381.00 ,36825140.00 ,12158133.00 ,305837177.00 ,13381022.00 ,51181985.00 ,12120309.00 ,5902258.00 ,74992880.00 ,44163708.00 ,,52047514.00 ,44146831.00 ,,49182798.00 ,48631849.00 
2020-09-09,65716444.00 ,28454172.00 ,714243139.00 ,,28322856.00 ,210056295.00 ,35313703.00 ,9219506.00 ,26329156.00 ,26177983.00 ,24939198.00 ,11578956.00 ,18934368.00 ,5844338.00 ,11409095.00 ,118580871.00 ,121619965.00 ,113509710.00 ,78889076.00 ,60543334.00 ,21080286.00 ,21763560.00 ,26515749.00 ,19229886.00 ,6654156.00 ,2596355.00 ,19487128.00 ,25665495.00 ,50524914.00 ,32994823.00 ,22893141.00 ,52900839.00 ,43698046.00 ,52398217.00 ,183429626.00 ,47320064.00 ,11743345.00 ,233008778.00 ,11791597.00 ,66199104.00 ,15137256.00 ,6051738.00 ,61264061.00 ,55960224.00 ,,67027450.00 ,49753090.00 ,,83414360.00 ,71092137.00 
2020-09-10,97917561.00 ,21030173.00 ,863872944.00 ,,58211898.00 ,165293413.00 ,18867724.00 ,6738099.00 ,21706271.00 ,18406054.00 ,18872184.00 ,9936712.00 ,14826421.00 ,4577556.00 ,10254977.00 ,98190628.00 ,118299706.00 ,106256565.00 ,73463861.00 ,55014607.00 ,16264843.00 ,18092631.00 ,18752262.00 ,17606219.00 ,8956353.00 ,2477833.00 ,19348109.00 ,31439567.00 ,48721220.00 ,30916252.00 ,24355097.00 ,40354402.00 ,38204801.00 ,53035437.00 ,208656000.00 ,49160284.00 ,13866147.00 ,343475741.00 ,14182656.00 ,39040435.00 ,13813591.00 ,5202302.00 ,128660598.00 ,57009536.00 ,,71988166.00 ,33253108.00 ,,74105697.00 ,52076362.00 
2020-09-11,58741617.00 ,21512672.00 ,602492774.00 ,,35214032.00 ,167500686.00 ,13364925.00 ,8936460.00 ,20576370.00 ,21102463.00 ,17965859.00 ,11688346.00 ,11765001.00 ,3401487.00 ,13357903.00 ,70494920.00 ,70922788.00 ,81850601.00 ,47551025.00 ,55310513.00 ,18338984.00 ,15200980.00 ,18586286.00 ,12869908.00 ,8818867.00 ,3108800.00 ,13910839.00 ,21810168.00 ,44147554.00 ,19186551.00 ,29648233.00 ,77920876.00 ,39720158.00 ,46217823.00 ,113191510.00 ,28847589.00 ,9298956.00 ,214292288.00 ,9417440.00 ,43402279.00 ,11223928.00 ,4612229.00 ,77167910.00 ,38761911.00 ,,78470514.00 ,41366269.00 ,,40287352.00 ,41882036.00 
2020-09-14,39429234.00 ,21739269.00 ,521061995.00 ,,33253455.00 ,148745384.00 ,14555475.00 ,8295135.00 ,22383909.00 ,22075933.00 ,19324016.00 ,12600766.00 ,14289637.00 ,5114929.00 ,12080719.00 ,40606526.00 ,57184320.00 ,65517748.00 ,60591351.00 ,46023997.00 ,15482417.00 ,17502535.00 ,17079134.00 ,14697978.00 ,8936814.00 ,3105601.00 ,21786064.00 ,21845326.00 ,55359345.00 ,24253074.00 ,33140236.00 ,86200846.00 ,23097598.00 ,72999187.00 ,97152035.00 ,29676165.00 ,12029955.00 ,286499184.00 ,13614958.00 ,34682972.00 ,9638502.00 ,3919703.00 ,58519133.00 ,51626693.00 ,,83224407.00 ,29263321.00 ,,32843848.00 ,36219098.00 
